Date, Time, TSB, TCB, SYS, LAG, IOU, GRN, THS, YAZ, TCT, CNC, MSG, TMI, TCP, IIL, FHG, SYM, LSC, PRN, EWM, TCM, ELT, HRG, TGP, WSU, IST, BAG, EVL, MCS, WLT, TCC
2021-04-13, 15:18, 797.47, 845.12, 485.74, 295.23, 147.68, 214.13, 336.38, 36.37, 219.73, 676.32, 158.76, 151.46, 273.03, 86.69, 580.53, 782.55, 364.9, 491.14, 272.52, 314.98, 190.26, 210.87, 86.29, 65.03, 317.38, 430.53, 382.19, 564.03, 479.77, 304.21
2021-04-13, 15:19, 797.47, 845.12, 485.74, 295.23, 147.68, 214.13, 336.38, 36.37, 219.73, 676.32, 158.76, 151.46, 273.03, 86.69, 580.53, 782.55, 364.9, 491.14, 272.52, 314.98, 190.26, 210.87, 86.29, 65.03, 317.38, 430.53, 382.19, 564.03, 479.77, 304.21
2021-04-13, 15:20, 797.64, 845.34, 485.84, 295.19, 147.66, 214.14, 336.51, 36.37, 219.61, 676.22, 158.88, 151.38, 273.18, 86.67, 580.43, 783.17, 364.95, 490.55, 272.48, 315.21, 190.09, 210.67, 86.31, 65.04, 317.84, 430.2, 382.7, 562.87, 479.47, 304.78
2021-04-13, 15:21, 797.64, 845.34, 485.84, 295.19, 147.66, 214.14, 336.51, 36.37, 219.61, 676.22, 158.88, 151.38, 273.18, 86.67, 580.43, 783.17, 364.95, 490.55, 272.48, 315.21, 190.09, 210.67, 86.31, 65.04, 317.84, 430.2, 382.7, 562.87, 479.47, 304.78
2021-04-13, 15:22, 797.17, 845.12, 485.59, 295.16, 147.36, 214.15, 336.32, 36.36, 219.57, 676.15, 158.99, 151.41, 273.45, 86.71, 580.39, 782.91, 364.9, 490.45, 272.39, 315.3, 189.9, 210.71, 86.29, 65.03, 317.79, 430.08, 382.48, 564.7, 479.74, 304.8
2021-04-13, 15:23, 797.47, 845.12, 485.51, 295.2, 147.37, 214.15, 336.26, 36.35, 219.61, 675.92, 159.16, 151.41, 273.65, 86.7, 580.76, 782.3, 364.95, 490.65, 272.42, 315.39, 189.84, 210.7, 86.41, 65.07, 317.84, 429.86, 382.81, 564.6, 479.74, 304.67
2021-04-13, 15:24, 797.42, 845.12, 485.67, 295.2, 147.61, 214.14, 336, 36.34, 219.69, 676.15, 159.7, 151.43, 273.65, 86.7, 580.76, 782.16, 364.97, 490.66, 272.41, 315.41, 189.83, 210.52, 86.39, 65.07, 317.84, 430.54, 382.88, 564.66, 479.74, 304.67
2021-04-13, 15:25, 797.12, 845.02, 485.66, 295.2, 147.67, 213.75, 335.93, 36.32, 219.69, 676.32, 159.5, 151.38, 273.68, 86.75, 581, 781.35, 364.88, 490.54, 272.45, 315.51, 189.85, 210.71, 86.39, 65.07, 317.88, 430.62, 382.88, 564.98, 480.17, 304.8
2021-04-13, 15:26, 797.41, 845.58, 485.53, 295.2, 147.66, 213.78, 335.93, 36.29, 219.79, 676.18, 159.5, 151.44, 273.64, 86.75, 581.17, 781.35, 365.02, 490.57, 272.34, 315.46, 189.92, 210.68, 86.39, 65.09, 317.84, 430.69, 382.86, 564.85, 480.17, 304.61
2021-04-13, 15:27, 797.28, 845.38, 485.28, 295.17, 147.71, 213.77, 336, 36.27, 219.77, 676.22, 159.38, 151.44, 273.67, 86.82, 580.22, 781.28, 365.08, 490.65, 272.41, 315.38, 189.9, 210.63, 86.39, 65.09, 317.71, 430.62, 382.77, 564.85, 480.17, 304.39
2021-04-13, 15:28, 797.26, 845.38, 485.28, 295.24, 147.91, 213.77, 336.26, 36.23, 219.49, 676.03, 159.32, 151.44, 273.51, 86.78, 580.03, 780.79, 365.18, 490.47, 272.45, 315.68, 189.83, 210.69, 86.39, 65.07, 317.63, 430.76, 382.74, 564.71, 480.17, 304.26
2021-04-13, 15:29, 797.23, 845.38, 485.67, 295.23, 147.86, 213.78, 336.43, 36.25, 219.61, 676.22, 159.34, 151.68, 273.49, 86.71, 580.12, 780.79, 365.18, 490.4, 272.42, 315.64, 189.9, 210.56, 86.37, 65.05, 317.59, 430.84, 382.86, 563.46, 481.47, 304.13
2021-04-13, 15:30, 797.55, 845.67, 485.31, 295.28, 147.86, 213.81, 336.43, 36.24, 219.67, 676.39, 159.34, 151.68, 273.32, 86.72, 580.12, 781.06, 365.18, 490.51, 272.47, 315.58, 189.93, 210.55, 86.3, 65.05, 317.75, 430.84, 382.91, 563.24, 481.74, 304.15
2021-04-13, 15:31, 797.87, 845.47, 485.18, 295.29, 147.92, 213.87, 336.88, 36.23, 219.71, 676.26, 159.62, 151.77, 273.25, 86.71, 579.34, 781.06, 365.25, 490.23, 272.39, 315.7, 189.97, 210.53, 86.3, 65.05, 317.39, 430.76, 382.83, 563.46, 481.57, 304.27
2021-04-13, 15:32, 797.85, 845.47, 485.26, 295.28, 147.94, 213.48, 336.75, 36.29, 219.65, 676.06, 159.38, 151.67, 273.32, 86.68, 579.44, 781.01, 365.18, 490.69, 272.41, 315.59, 189.99, 210.43, 86.32, 65.06, 317.15, 430.76, 382.94, 563.46, 481.57, 304.21
2021-04-13, 15:33, 797.64, 845.89, 485.18, 295.22, 147.86, 213.48, 336.68, 36.31, 219.51, 676.16, 159.16, 151.68, 273.26, 86.64, 579.2, 780.94, 365.1, 490.5, 272.37, 315.83, 189.9, 210.41, 86.34, 65.07, 317.34, 430.47, 383.03, 563.46, 481.38, 304.25
2021-04-13, 15:34, 797.66, 845.89, 485.05, 295.19, 147.94, 213.13, 336.62, 36.24, 219.57, 676.2, 158.91, 151.74, 273.34, 86.67, 579.44, 780.81, 364.99, 490.8, 272.37, 315.83, 189.83, 210.36, 86.34, 65.03, 317.29, 430.28, 383.05, 563.97, 480.82, 304.27
2021-04-13, 15:35, 797.56, 845.99, 484.81, 295.19, 147.91, 213.13, 336.02, 36.23, 219.51, 676.1, 158.91, 151.71, 273.58, 86.65, 579.34, 780.94, 365.1, 490.79, 272.33, 315.93, 189.93, 210.43, 86.34, 65.03, 317.29, 429.89, 383.07, 563.97, 480.99, 304.27
2021-04-13, 15:36, 797.43, 846.17, 484.84, 295.19, 147.79, 213.09, 335.89, 36.21, 219.51, 676.33, 158.92, 151.67, 273.42, 86.69, 579.2, 781.08, 365.32, 490.53, 272.35, 315.94, 189.82, 210.23, 86.33, 65.02, 317.43, 429.74, 383.09, 563.97, 481.44, 304.16
2021-04-13, 15:37, 797.33, 846.17, 484.49, 295.19, 147.77, 213.09, 336.32, 36.2, 219.49, 676.43, 159.1, 151.68, 273.36, 86.67, 579.11, 780.94, 365.32, 490.35, 272.33, 315.97, 189.89, 210.22, 86.3, 65.07, 317.35, 429.67, 383.15, 563.97, 481.74, 303.91
2021-04-13, 15:38, 797.17, 846.07, 484.36, 295.24, 147.76, 213.13, 336.32, 36.19, 219.67, 676.52, 159.1, 151.67, 273.1, 86.73, 579.11, 780.66, 365.43, 490.51, 272.38, 316.42, 189.94, 209.85, 86.45, 65.07, 317.26, 429.13, 383.11, 564.08, 481.47, 304.12
2021-04-13, 15:39, 797.26, 846.35, 484.49, 295.24, 147.74, 213.13, 336.02, 36.16, 219.63, 676.39, 159.1, 151.66, 273.22, 86.74, 579.39, 780.66, 365.43, 490.44, 272.38, 316.45, 189.86, 209.92, 86.51, 65.02, 317.48, 428.51, 383.14, 563.97, 481.74, 304.35
2021-04-13, 15:40, 797.25, 846.35, 484.49, 295.23, 147.78, 213.07, 336.02, 36.18, 219.65, 676.39, 159.09, 151.69, 273.35, 86.65, 579.06, 780.99, 365.43, 490.54, 272.36, 316.45, 189.88, 210.12, 86.51, 65.02, 317.23, 428.66, 383.14, 564.49, 481.87, 304.35
2021-04-13, 15:41, 797.47, 846.57, 484.39, 295.25, 147.57, 213.08, 336.02, 36.19, 219.73, 676.39, 159.1, 151.69, 273.2, 86.62, 577.79, 780.78, 365.43, 490.5, 272.29, 316.34, 189.97, 209.9, 86.59, 64.98, 317.32, 428.18, 382.83, 564.47, 481.94, 304.18
2021-04-13, 15:42, 797.57, 846.57, 484.39, 295.21, 147.65, 213.04, 336.15, 36.19, 219.61, 676.1, 159.12, 151.61, 273.23, 86.57, 577.51, 780.49, 365.54, 490.24, 272.17, 316.47, 190.01, 209.85, 86.63, 64.97, 317.15, 428.4, 382.89, 564.47, 481.83, 304.23
2021-04-13, 15:43, 797.84, 846.99, 484.16, 295.15, 147.65, 213.03, 336.02, 36.16, 219.71, 676, 159.06, 151.59, 273.38, 86.52, 577.46, 780.79, 365.49, 490.33, 272.12, 316.26, 190.08, 209.86, 86.63, 65, 317.05, 428.4, 382.6, 564.47, 480.44, 304.08
2021-04-13, 15:44, 798.08, 846.99, 484.16, 295.19, 147.81, 213.05, 336.02, 36.19, 219.75, 675.97, 158.79, 151.42, 273.34, 86.55, 577.09, 780.79, 365.54, 490.49, 272.08, 316.49, 189.92, 209.92, 86.63, 65.02, 316.95, 428.25, 382.53, 563.59, 480.27, 304.28
2021-04-13, 15:45, 797.91, 846.99, 483.88, 295.21, 147.71, 213.05, 336.02, 36.22, 219.77, 676.1, 158.7, 151.37, 273.67, 86.52, 576.94, 780.93, 365.54, 490.83, 272.12, 316.59, 189.8, 209.86, 86.63, 64.99, 316.82, 428.44, 382.36, 563.84, 480.79, 304.4
2021-04-13, 15:46, 798.57, 846.34, 483.88, 295.23, 147.78, 213.01, 336.15, 36.25, 219.57, 676.33, 158.76, 151.31, 273.71, 86.49, 577.8, 780.93, 365.43, 490.47, 272.16, 316.65, 189.73, 209.95, 86.63, 65, 317.09, 428.83, 382.36, 563.95, 480.79, 304.25
2021-04-13, 15:47, 798.63, 846.71, 483.97, 295.17, 147.72, 213.01, 336.44, 36.28, 219.39, 676.2, 158.76, 151.31, 273.8, 86.47, 577.45, 781.08, 365.49, 490.76, 272.12, 316.72, 189.54, 209.86, 86.63, 64.97, 317.1, 428.72, 382.25, 563.84, 480.27, 304.4
2021-04-13, 15:48, 798.38, 846.62, 483.91, 295.19, 147.5, 213.08, 336.44, 36.26, 219.33, 676.06, 159.02, 151.32, 273.83, 86.53, 578.66, 780.92, 365.3, 490.54, 272.08, 316.74, 189.66, 210.08, 86.58, 65.04, 317.12, 428.58, 382.27, 563.33, 479.06, 304.44
2021-04-13, 15:49, 798.72, 846.57, 483.83, 295.21, 147.49, 213.04, 336.14, 36.27, 219.35, 676.26, 159.02, 151.28, 273.97, 86.48, 578.5, 781.18, 365.42, 489.82, 272.08, 316.83, 189.78, 210.32, 86.5, 65.02, 317.12, 428.72, 382.55, 563.46, 479.06, 304.69
2021-04-13, 15:50, 798.64, 846.71, 484.08, 295.22, 147.75, 213.03, 336.26, 36.27, 219.53, 676.45, 158.94, 151.28, 274.67, 86.49, 578.35, 781.25, 365.36, 489.63, 272.18, 316.83, 189.8, 210.41, 86.43, 65.03, 317.24, 428.72, 382.42, 563.74, 479.4, 304.76
2021-04-13, 15:51, 798.64, 846.25, 483.98, 295.17, 147.75, 213.24, 336.13, 36.26, 219.45, 676.18, 158.93, 151.32, 274.64, 86.52, 578.35, 781.18, 365.36, 489.46, 272.06, 316.64, 189.85, 210.36, 86.43, 65.03, 317.33, 430.01, 382.25, 563.52, 479.06, 304.8
2021-04-13, 15:52, 798.42, 846.35, 483.59, 295.1, 147.75, 213.46, 336.13, 36.23, 219.51, 676.05, 159.02, 151.32, 274.52, 86.57, 578.21, 781.18, 365.27, 489.57, 272.04, 316.73, 189.9, 210.23, 86.37, 65.03, 317.33, 429.9, 382.25, 563.78, 479.45, 304.63
2021-04-13, 15:53, 798.05, 846.3, 483.59, 295.21, 147.39, 213.45, 335.83, 36.28, 219.53, 676.09, 159.33, 151.53, 274.45, 86.6, 578.72, 781.44, 365.34, 489.37, 272.01, 316.73, 190.01, 210.31, 86.37, 65.04, 317.29, 429.97, 382.27, 563.99, 479.28, 304.59
2021-04-13, 15:54, 798.19, 846.12, 483.46, 295.2, 147.33, 213.45, 335.47, 36.3, 219.69, 676.18, 159.37, 151.49, 274.54, 86.64, 579.05, 781.66, 365.46, 489.08, 272.03, 316.53, 189.75, 210.25, 86.37, 65.06, 317.43, 430.01, 382.52, 563.89, 479.28, 304.44
2021-04-13, 15:55, 798.05, 846.4, 483.75, 295.2, 147.63, 213.45, 335.27, 36.29, 219.47, 676.09, 159.37, 151.44, 274.45, 86.67, 578.96, 781.84, 365.46, 489.3, 271.99, 316.57, 189.66, 209.89, 86.37, 65.08, 317.27, 429.9, 382.67, 563.11, 478.9, 304.37
2021-04-13, 15:56, 798.02, 846.21, 483.69, 295.16, 147.54, 213.45, 335.34, 36.28, 219.57, 676.32, 159.43, 151.43, 274.51, 86.67, 579.05, 781.84, 365.67, 489.67, 271.97, 316.58, 189.8, 209.77, 86.13, 65.1, 317.52, 429.42, 382.44, 563.22, 479.38, 304.12
2021-04-13, 15:57, 797.79, 846.31, 483.36, 295.15, 147.54, 213.52, 335.53, 36.27, 219.65, 676.32, 159.39, 151.44, 274.42, 86.61, 579.39, 781.68, 365.89, 489.32, 271.96, 317.01, 189.76, 209.7, 86.08, 65.11, 317.82, 429.01, 382.19, 563.7, 478.59, 304.01
2021-04-13, 15:58, 797.97, 846.12, 483.36, 295.14, 147.56, 213.48, 335.65, 36.25, 219.63, 676.45, 159.39, 151.36, 274.09, 86.61, 578.97, 781.16, 365.83, 489.98, 271.99, 316.95, 189.78, 209.62, 86.15, 65.15, 317.82, 428.46, 382.16, 563.7, 478.41, 304.1
2021-04-13, 15:59, 798.02, 846.31, 483.36, 295.14, 147.58, 213.41, 335.59, 36.28, 219.71, 676.58, 159.39, 151.4, 274.12, 86.61, 578.93, 780.88, 365.78, 490.15, 272.13, 317.08, 189.91, 209.55, 86.15, 65.13, 317.98, 428.05, 382.23, 563.89, 478.28, 304.31
2021-04-13, 16:00, 797.73, 846.45, 483.4, 295.08, 147.71, 213.48, 335.46, 36.25, 219.57, 676.22, 159.4, 151.44, 273.96, 86.77, 578.71, 780.88, 365.78, 489.96, 272.11, 317.55, 189.66, 209.58, 86.22, 65.13, 317.6, 428.56, 382.19, 564.29, 478.71, 303.93
2021-04-13, 16:01, 797.71, 846.45, 482.88, 295.01, 147.73, 213.37, 335.39, 36.23, 219.61, 675.95, 159.21, 151.55, 274.11, 86.69, 578.86, 780.88, 365.85, 490.17, 272.25, 317.38, 189.64, 209.56, 86.26, 65.18, 317.39, 428.41, 382.47, 564.08, 478.58, 303.74
2021-04-13, 16:02, 797.65, 846.03, 483.01, 294.96, 147.79, 213.41, 335.32, 36.22, 219.63, 675.95, 159.34, 151.52, 274.23, 86.63, 578.26, 781.01, 365.78, 490.26, 272.25, 317.35, 189.73, 209.67, 86.32, 65.16, 317.34, 428.3, 382.65, 564.59, 477.89, 303.8
2021-04-13, 16:03, 797.55, 846.12, 482.79, 294.9, 147.84, 213.26, 335.19, 36.25, 219.8, 676.05, 159.36, 151.52, 274.17, 86.64, 577.93, 781.01, 365.76, 490.22, 271.77, 317.09, 189.78, 209.72, 86.46, 65.15, 317.15, 428.07, 382.68, 564.46, 477.56, 303.95
2021-04-13, 16:04, 797.79, 846.4, 482.73, 294.95, 147.89, 213, 335.38, 36.25, 219.77, 676.09, 159.3, 151.52, 274.3, 86.66, 577.98, 781.01, 365.71, 490.9, 271.9, 316.94, 189.8, 209.7, 86.46, 65.15, 317.06, 428.53, 382.73, 564.46, 476.86, 304.06
2021-04-13, 16:05, 797.63, 846.4, 482.6, 294.95, 147.84, 212.98, 335.45, 36.25, 219.88, 675.99, 159.3, 151.52, 274.3, 86.65, 578.07, 781.55, 365.71, 490.61, 271.5, 317.15, 189.9, 209.75, 86.46, 65.15, 317.1, 428.27, 382.64, 564.96, 478.25, 303.8
2021-04-13, 16:06, 797.76, 846.21, 482.48, 294.98, 147.81, 213, 335.51, 36.25, 219.9, 676.45, 159.03, 151.52, 274.01, 86.66, 578.07, 781.74, 365.42, 490.54, 271.4, 317.19, 189.73, 209.87, 86.46, 65.16, 317.31, 428.05, 382.6, 564.85, 477.73, 303.96
2021-04-13, 16:07, 797.84, 846.12, 482.6, 295.02, 147.79, 212.99, 335.57, 36.24, 219.88, 676.35, 159.1, 151.53, 274.24, 86.66, 578.16, 782.13, 365.92, 490.45, 271.16, 317.17, 189.69, 209.88, 86.46, 65.15, 316.99, 428.42, 382.51, 564.01, 477.37, 303.89
2021-04-13, 16:09, 798.08, 845.94, 482.39, 295.15, 147.66, 212.67, 335.89, 36.25, 219.9, 676.49, 158.9, 151.54, 273.95, 86.7, 578.02, 781.54, 365.92, 490, 271.54, 317.13, 189.43, 209.59, 86.46, 65.15, 317.07, 428.42, 382.18, 564.76, 477.2, 303.96
2021-04-13, 16:10, 798.03, 845.08, 482.29, 295.16, 147.57, 212.46, 335.7, 36.29, 219.92, 676.62, 158.59, 151.54, 273.82, 86.72, 577.57, 781.41, 365.98, 490.19, 271.62, 316.83, 189.44, 209.65, 86.46, 65.14, 317.12, 428.27, 382.02, 565.4, 477.12, 303.93
2021-04-13, 16:11, 798.14, 844.68, 482.29, 295.17, 147.59, 212.75, 335.09, 36.27, 220, 676.75, 158.59, 151.61, 273.93, 86.71, 577.85, 781.41, 365.92, 489.85, 271.68, 316.56, 189.36, 209.6, 86.46, 65.12, 317.64, 428.48, 381.82, 566.04, 477.98, 303.87
2021-04-13, 16:12, 798.17, 844.86, 482, 295.09, 147.63, 212.21, 334.85, 36.27, 219.98, 677.02, 158.23, 151.56, 273.95, 86.72, 578.32, 781.54, 365.8, 490.22, 271.83, 316.53, 189.37, 209.67, 86.53, 65.14, 317.53, 427.86, 381.71, 566.06, 477.81, 303.91
2021-04-13, 16:13, 798.38, 844.86, 482, 295.02, 147.64, 212.2, 334.35, 36.28, 220, 676.52, 158.51, 151.56, 273.88, 86.74, 578.27, 781.67, 365.86, 490.31, 271.98, 316.52, 189.28, 209.85, 86.59, 65.16, 317.44, 427.82, 381.71, 565.84, 477.4, 303.67
2021-04-13, 16:14, 798.17, 844.86, 482.07, 295.04, 147.75, 212.25, 333.81, 36.28, 219.94, 676.62, 158.51, 151.61, 273.85, 86.75, 578.04, 782.99, 365.73, 490.77, 272.04, 316.42, 189.38, 209.79, 86.66, 65.2, 317.61, 427.59, 382.23, 565.51, 477.57, 303.85
2021-04-13, 16:15, 798.8, 844.66, 482.24, 295.06, 147.8, 212.25, 334.18, 36.3, 219.9, 676.58, 158.68, 151.61, 273.84, 86.71, 578.62, 782.86, 365.99, 490.02, 271.83, 316.54, 189.33, 209.74, 86.62, 65.16, 317.44, 427.67, 382.54, 566.07, 477.57, 303.76
2021-04-13, 16:16, 798.53, 844.71, 482.49, 294.91, 147.63, 212.32, 334.11, 36.25, 219.9, 676.85, 158.68, 151.64, 273.92, 86.66, 578.47, 782.96, 365.93, 489.89, 271.81, 316.54, 189.17, 209.86, 86.62, 65.16, 317.24, 427.82, 382.62, 565.57, 477.57, 303.76
2021-04-13, 16:17, 798.24, 844.81, 482.64, 295.02, 147.65, 212.27, 334.56, 36.26, 219.53, 676.94, 158.74, 151.64, 274.03, 86.68, 578.65, 783.25, 365.86, 489.82, 271.38, 316.54, 189.22, 209.86, 86.6, 65.13, 317.5, 428.41, 382.7, 565.19, 477.74, 303.72
2021-04-13, 16:18, 798.04, 844.71, 482.12, 295.08, 147.71, 212.3, 334.57, 36.26, 219.4, 676.68, 158.84, 151.68, 274.07, 86.71, 578.65, 783.13, 365.93, 489.85, 271.15, 316.57, 189.17, 209.87, 86.6, 65.13, 317.44, 428.26, 382.71, 564.14, 477.72, 303.76
2021-04-13, 16:19, 797.91, 844.44, 482.5, 295.08, 147.65, 212.3, 334.62, 36.27, 219.32, 676.91, 158.76, 151.6, 274.2, 86.73, 578.08, 783.26, 366.06, 489.68, 271.42, 316.47, 189.27, 209.98, 86.63, 65.12, 317.36, 428.07, 382.58, 564.25, 477.55, 303.85
2021-04-13, 16:20, 797.65, 844.44, 482.54, 295.02, 147.76, 212.27, 334.49, 36.27, 219.14, 676.81, 158.62, 151.6, 273.97, 86.71, 577.99, 783.4, 366.06, 490.1, 271.41, 316.52, 189.26, 210.02, 86.67, 65.15, 317.49, 428.11, 382.49, 564.03, 477.72, 303.95
2021-04-13, 16:21, 798.03, 844.36, 482.35, 294.97, 147.78, 212.28, 334.44, 36.26, 219.18, 676.68, 158.55, 151.47, 273.61, 86.68, 577.66, 783.4, 366, 490.73, 271.39, 316.52, 189.16, 210.02, 86.58, 65.12, 317.57, 427.84, 382.47, 564.27, 478.29, 304.21
2021-04-13, 16:22, 797.95, 844.95, 482.22, 294.99, 147.76, 212.27, 334.5, 36.24, 219.18, 676.32, 158.4, 151.47, 273.62, 86.71, 577.71, 783.4, 365.96, 490.68, 271.73, 316.52, 189.32, 210.02, 86.56, 65.11, 317.09, 427.77, 382.49, 564.81, 478.19, 304.08
2021-04-13, 16:23, 797.61, 844.95, 482.23, 294.95, 147.64, 212.29, 334.44, 36.27, 219.26, 676.91, 158.48, 151.47, 273.74, 86.72, 577.66, 783.25, 366.09, 490.95, 271.73, 315.83, 189.24, 210.24, 86.62, 65.1, 316.96, 427.28, 382.28, 565.18, 478.25, 304.02
2021-04-13, 16:24, 797.5, 844.95, 482.35, 294.89, 147.73, 212.3, 334.44, 36.27, 219.32, 676.91, 158.31, 151.48, 273.88, 86.68, 577.61, 783.37, 366.16, 490.1, 271.86, 315.88, 189.22, 210.28, 86.45, 65.09, 316.63, 426.6, 382.37, 565.72, 478.03, 304.3
2021-04-13, 16:25, 797.5, 845.07, 482.12, 294.93, 147.66, 212.25, 333.76, 36.27, 219.55, 676.71, 158.51, 151.5, 274.17, 86.66, 577.4, 783.37, 366.11, 489.94, 272.1, 317.38, 189.25, 210.38, 86.41, 65.12, 316.5, 426.04, 382.33, 565.46, 477.51, 304.1
2021-04-13, 16:26, 797.74, 845.17, 482.46, 294.76, 147.68, 212.27, 333.63, 36.27, 219.61, 676.98, 158.57, 151.47, 274.01, 86.64, 577.73, 783.48, 366.11, 489.8, 272.02, 316.98, 189.23, 210.35, 86.4, 65.12, 316.67, 426.19, 382.28, 565.46, 477.17, 303.95
2021-04-13, 16:27, 797.4, 844.75, 482.12, 294.98, 147.75, 212.28, 333.64, 36.28, 219.71, 677.11, 158.65, 151.39, 273.88, 86.58, 578.05, 783.22, 366.11, 489.55, 272.04, 316.88, 189.3, 210.42, 86.4, 65.05, 316.43, 425.78, 382.19, 566.67, 476.65, 304.02
2021-04-13, 16:28, 797.38, 844.59, 482.15, 294.91, 147.69, 212.29, 333.64, 36.26, 219.75, 677.11, 158.75, 151.41, 274.09, 86.56, 578.05, 783.28, 366.05, 489, 271.9, 316.87, 189.58, 210.23, 86.27, 65.07, 316.45, 425.63, 382.28, 565.82, 476.29, 304.26
2021-04-13, 16:29, 797.35, 844.39, 482.4, 294.92, 147.69, 212.27, 333.7, 36.25, 219.85, 677.61, 158.61, 151.43, 274.18, 86.58, 578.52, 783.57, 366.14, 489.45, 271.92, 316.81, 189.58, 210.18, 86.2, 65.05, 316.54, 425.89, 382.24, 566.6, 476.12, 304.51
2021-04-13, 16:30, 797.53, 844.21, 481.96, 295.01, 147.68, 212.28, 333.7, 36.22, 219.44, 677.25, 158.59, 151.41, 274.24, 86.64, 578.52, 783.41, 366.14, 488.89, 272.09, 316.89, 189.61, 210.14, 86.18, 65.06, 316.41, 425.96, 382.37, 566.7, 475.95, 304.59
2021-04-13, 16:31, 797.54, 844.08, 481.78, 295.06, 147.64, 212.3, 333.58, 36.22, 219.59, 677.25, 158.94, 151.44, 274.23, 86.65, 578.76, 783.35, 366.14, 488.43, 272.23, 317.08, 189.58, 210.13, 86.2, 65.06, 316.41, 426.11, 382.37, 565.79, 476.61, 304.53
2021-04-13, 16:32, 797.64, 844.39, 481.83, 295.15, 147.68, 212.29, 333.88, 36.23, 219.52, 677.34, 158.55, 151.48, 274.26, 86.69, 578.85, 782.95, 366.14, 488.6, 272.17, 317.18, 189.7, 210.16, 86.2, 65.09, 316.54, 425.89, 382.39, 564.91, 476.78, 304.53
2021-04-13, 16:33, 797.41, 844.48, 481.82, 295.15, 147.71, 212.28, 333.88, 36.23, 219.5, 677.53, 158.66, 151.48, 274.11, 86.71, 578.99, 782.95, 365.99, 489.4, 272.18, 317.65, 189.7, 210.13, 86.27, 65.07, 316.43, 425.78, 382.24, 565.55, 477.17, 304.3
2021-04-13, 16:34, 797.44, 844.26, 481.59, 295.11, 147.7, 212.29, 333.71, 36.23, 219.54, 677.53, 158.61, 151.44, 274.12, 86.66, 578.71, 782.54, 365.99, 488.48, 271.98, 317.93, 189.7, 210.1, 86.27, 65.07, 316.46, 425.89, 382.05, 566.06, 477.17, 304.49
2021-04-13, 16:35, 797.57, 843.99, 481.48, 294.97, 147.68, 212.24, 333.58, 36.25, 219.73, 677.67, 158.47, 151.47, 274.21, 86.66, 578.66, 782.27, 365.99, 488.21, 271.98, 317.88, 189.74, 210.08, 86.33, 65.06, 316.5, 425.89, 381.87, 566.17, 477.34, 304.62
2021-04-13, 16:36, 797.47, 844.12, 481.38, 295.02, 147.67, 212.23, 333.52, 36.24, 219.81, 677.67, 158.47, 151.49, 274.27, 86.64, 578.43, 780.62, 365.99, 488.67, 271.95, 317.97, 189.72, 210.02, 86.33, 65.06, 316.55, 426.12, 381.87, 566.17, 477.34, 304.75
2021-04-13, 16:37, 797.13, 844.12, 481.48, 294.91, 147.63, 212.25, 333.88, 36.24, 219.83, 677.67, 158.37, 151.33, 274.38, 86.62, 578.43, 781.4, 365.94, 488.74, 272.04, 317.82, 189.74, 210.02, 86.33, 65.09, 316.6, 426.3, 381.98, 565.66, 477.17, 304.71
2021-04-13, 16:38, 797.31, 843.99, 481.57, 294.92, 147.63, 212.27, 333.63, 36.25, 219.83, 677.53, 158.32, 151.31, 274.4, 86.62, 578.43, 781.66, 365.99, 488.54, 272.12, 317.68, 189.47, 210.11, 86.33, 65.09, 316.6, 426.72, 381.86, 567.57, 477.36, 304.62
2021-04-13, 16:39, 797.03, 843.79, 482.04, 295, 147.63, 212.25, 333.99, 36.26, 219.89, 677.67, 158.32, 151.23, 274.57, 86.67, 578.66, 781.45, 366.07, 488.59, 272.16, 317.73, 189.23, 210.13, 86.23, 65.04, 316.64, 427.17, 381.87, 567.57, 477.08, 304.85
2021-04-13, 16:40, 796.76, 843.79, 482.33, 294.98, 147.58, 212.25, 334.12, 36.25, 219.89, 677.7, 158.48, 151.23, 274.79, 86.66, 578.71, 781.45, 366.07, 488.57, 272.29, 317.74, 189.44, 210.12, 86.23, 64.97, 317.03, 427.17, 381.85, 567.57, 476.35, 304.77
2021-04-13, 16:41, 797.06, 843.17, 481.98, 294.87, 147.63, 212.47, 334.25, 36.25, 219.75, 677.34, 158.58, 151.11, 274.78, 86.66, 578.38, 781.85, 366.43, 487.97, 272.31, 317.68, 189.53, 210.2, 86.23, 64.93, 317.07, 426.87, 381.94, 567.18, 476.52, 304.83
2021-04-13, 16:42, 796.84, 843.19, 481.78, 294.95, 147.62, 212.5, 334.07, 36.26, 219.6, 676.68, 158.63, 151.11, 274.73, 86.71, 578.09, 781.89, 366.37, 487.71, 272.39, 317.63, 189.46, 210.28, 86.33, 64.93, 316.97, 426.68, 381.87, 567.18, 476.87, 304.9
2021-04-13, 16:43, 796.9, 843.17, 481.88, 294.95, 147.68, 212.49, 334.07, 36.26, 219.42, 676.64, 158.56, 151.12, 274.93, 86.63, 577.88, 781.05, 366.37, 487.69, 272.32, 317.53, 189.65, 210.15, 86.33, 64.94, 317.12, 426.79, 381.96, 568.06, 476.3, 304.94
